,t,fire_0_x,fire_0_y,fire_1_x,fire_1_y,fire_2_x,fire_2_y,fire_3_x,fire_3_y,fire_4_x,fire_4_y,police_0_x,police_0_y,police_1_x,police_1_y,police_2_x,police_2_y,police_3_x,police_3_y,police_4_x,police_4_y,guard_0_x,guard_0_y,guard_1_x,guard_1_y,guard_2_x,guard_2_y,guard_3_x,guard_3_y,guard_4_x,guard_4_y
23,23,-3.0590361847730447,-6.605809570404426,-0.05896076195869431,-0.4415347464661763,0.3419621459696439,-4.292634008562392,-3.9672974475185416,-2.1015201111357533,-2.602011516099838,4.170093616831266,-3.6075504278804327,7.013817748200003,1.2824269092524432,0.8927329413706624,1.2323986029812959,-2.5932062946049577,-0.0879774314323291,-0.5600060652811808,-3.016739518060251,-6.726402587036344,-0.9328907343756858,-0.9656674030675774,0.09840234314907914,2.6925203322972853,-6.295450886483036,0.053725787593785525,8.070353522642815,-5.0783646190217615,-2.715186391405969,0.7629427194465863
24,24,-3.1404860508574384,-6.818184103737976,-0.13561237381982474,-0.7943012053069209,0.46480156740621237,-4.6585354263560115,-4.121609293569753,-2.483184781349491,-2.8801929282295524,4.319115414937204,-3.6927207732473546,7.368800183287036,1.6009200621448625,0.971188952953581,1.5359199363839795,-2.812818943446805,-0.1905846382910425,-0.5481792173000335,-3.0326366813200876,-7.060411723148482,-1.1090851416347474,-1.4214134423023994,-0.11269458035420721,2.990260469423162,-6.52931433057121,0.0648602575321359,8.430183592548683,-5.440933564274198,-2.7126790916018666,1.052110400448667
25,25,-3.313249373661219,-7.123350375913542,-0.27468189246211194,-1.200886923786559,0.5848180007929948,-5.059620001439455,-4.251113587038936,-2.8192239921434226,-3.161662595892611,4.505655478978291,-3.775719106016342,7.797042187204767,1.8746973377957572,1.101278817709551,1.8952008697571112,-3.1234627080575956,-0.2789476300270173,-0.519034882876922,-3.037728195426126,-7.431571571008902,-1.2299645035134752,-1.9190451739078218,-0.27356602858568235,3.324994610369283,-6.748423760377484,-0.023921346733938156,8.841942004997541,-5.813328198972871,-2.751226841489627,1.405992753003996
26,26,-3.478199163528918,-7.4107045567159,-0.4393698679766986,-1.6396981255435932,0.6429245613501471,-5.457563929020044,-4.460545698900765,-3.2354800714360525,-3.5075478666589373,4.657280133317884,-3.906999251953745,8.18473692333036,2.1808803529958425,1.2012806855585283,2.1772898574939967,-3.409598571002259,-0.2854784572696025,-0.5059884671432522,-3.1415612134495947,-7.899118091808363,-1.3026994102154812,-2.41911055638396,-0.336055094629244,3.588642769619865,-7.027848159286258,-0.0214495129421481,9.170617432453906,-6.2517025607851435,-2.727630915931431,1.7433258471898576
27,27,-3.6873168639528355,-7.72069848656802,-0.6546777178216315,-2.1770896615238007,0.7003845081860675,-5.9184335358949145,-4.730932324779683,-3.6771724670266215,-3.7966729086808164,4.906536565598961,-3.9648173003081846,8.515806172116422,2.5217373940184156,1.244173712921163,2.428788571395059,-3.620405119659774,-0.3831427653493768,-0.5597599374768915,-3.2533240739320983,-8.324066884708431,-1.3619596838434582,-2.828592724423967,-0.3114747027242172,3.8251308689568564,-7.247999423564242,-0.11344908292250923,9.507217193988568,-6.780774116599384,-2.79592254110476,2.1305461730514543
28,28,-3.961416625184057,-8.022041392804965,-0.7794610204506942,-2.728093039000297,0.6975130199783967,-6.30075201683538,-5.075861035102203,-4.047748329167415,-4.018778259451348,5.214275932954804,-4.121104974478187,8.942738728556513,2.879631525439329,1.33552185863325,2.7426579917465896,-3.785795747849942,-0.44483441059020856,-0.5860585361011216,-3.3461741326288625,-8.762967826127245,-1.4807343595080178,-3.3311398072452185,-0.245331756025988,4.074863145526525,-7.563550558408848,-0.1938606101172785,9.784990327090151,-7.3608699990056525,-2.901688189109535,2.446902046455739
29,29,-4.254333147447918,-8.339793624433957,-0.8828006805914229,-3.369119511352961,0.6253246209434377,-6.585790050507665,-5.5102125478573605,-4.391350527472594,-4.271940021170325,5.516947700761549,-4.263099706210567,9.3941752930295,3.2779430903522107,1.4455299836747364,3.0209351211228337,-3.8748214488022446,-0.42916960891045186,-0.5965346645620915,-3.4598073767884916,-9.121311690731433,-1.5133607942687584,-3.8663226072529677,-0.11036169214165534,4.354337409264882,-7.781731984486367,-0.28980993842240926,9.978766146463931,-7.902548266587557,-3.0210962767373886,2.822972872651808
30,30,-4.46234310877646,-8.56102416069491,-1.0367945488653367,-4.0619430368610585,0.46143064394623,-6.938738791853598,-6.007196529624754,-4.832252868856609,-4.453527937666201,5.858819320779464,-4.420078291919337,9.813665266256566,3.694545955881992,1.6548413920182596,3.2518860768382116,-4.017525221875902,-0.3301940999627599,-0.6403009558399844,-3.6564083741992133,-9.487921458018214,-1.5650600163831108,-4.45078773770358,-0.07536036783042663,4.632903155007702,-7.975641756693783,-0.4677405771198422,10.120777427639528,-8.473810114974825,-3.2170773074024237,3.279189516952592
31,31,-4.685806719257834,-8.815425483153787,-1.2746613513002463,-4.678105992231821,0.3534204617244926,-7.299426980358359,-6.529754098677487,-5.194607247188698,-4.669102697239255,6.237524059573389,-4.516505914595063,10.14060808520155,4.0849174428888855,1.9224209173849562,3.4383850904215985,-4.216142484380641,-0.20032101511886286,-0.6796275416233726,-3.935314079313623,-9.797195156835025,-1.6999842673034842,-5.021147637591011,-0.07348951028439758,4.96236321449742,-8.152870976030275,-0.6617377299938114,10.214660250813951,-8.989822779348724,-3.5112152423030767,3.7514315257462925
32,32,-4.903070621248247,-9.008129052061255,-1.575119593121336,-5.289724222852362,0.311342434769042,-7.693671130401295,-7.0168711589053245,-5.53375310009691,-4.92464148779272,6.574042358932575,-4.591250943570361,10.455868402031903,4.410118248132208,2.2395244273036066,3.690791521751651,-4.463568364299917,-0.055308184313606235,-0.7580602931516571,-4.158814558488874,-10.190300721577593,-1.8092949227801574,-5.656382187734972,-0.06565592423287633,5.3342079265282685,-8.388165078584308,-0.7826559439897443,10.374408734258715,-9.488083398394018,-3.8550344457314103,4.302202004934908
33,33,-5.210290394987626,-9.256454047478913,-1.7963880976130737,-5.828965282001698,0.2679732746366182,-7.990976065633813,-7.503377292335958,-5.809988762569468,-5.171189589521854,6.817420657573083,-4.711686388174727,10.741945081315091,4.74023534210923,2.603352370149959,4.032592900463577,-4.782090228943343,0.09754683110131215,-0.8223167354800676,-4.356114830953021,-10.538536698717408,-1.997905828358838,-6.3009800154521916,-0.11383439513441988,5.612114171432414,-8.578658376796076,-0.8596259000506827,10.522651205058521,-10.004382672473403,-4.161541636562505,4.876025896908384
